                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0856,                 2.6782,                 1.4103,                 1.4414,                0.62459,                 0.5292,                 0.5624,                0.41808,                0.61719,                0.47065,                0.49238,                0.30974,                 1.1744,                  2.827,                 1.5061,                 1.6345,               0.006634,               0.006634,               0.006634
                     37,                 1.0703,                 2.6845,                 1.3874,                 1.4303,                 0.6554,                0.52239,                0.57301,                0.42707,                0.61313,                0.48395,                0.50383,                0.31679,                 1.1602,                 2.8144,                  1.497,                 1.6233,               0.006535,               0.006535,               0.006535
                     38,                 1.0671,                 2.6733,                 1.3468,                 1.4216,                0.65773,                0.51883,                 0.5732,                0.43014,                0.61616,                0.48106,                0.50526,                0.31658,                 1.1591,                  2.826,                 1.4949,                 1.6347,               0.006436,               0.006436,               0.006436
                     39,                 1.0574,                   2.62,                 1.3651,                 1.4307,                0.63814,                0.55537,                0.58598,                0.43788,                 0.5943,                0.51635,                0.51627,                0.32758,                  1.161,                 2.7845,                 1.4489,                 1.6345,               0.006337,               0.006337,               0.006337
                     40,                 1.0496,                  2.618,                 1.3195,                 1.4197,                0.63079,                0.55714,                0.58636,                0.43604,                0.59204,                0.51272,                0.51804,                0.32608,                 1.1643,                 2.7938,                 1.4603,                 1.6406,               0.006238,               0.006238,               0.006238
                     41,                 1.0577,                 2.6173,                 1.3285,                 1.4232,                0.66985,                0.54461,                0.59198,                 0.4385,                0.63412,                0.50629,                 0.5241,                 0.3299,                 1.1595,                 2.7926,                 1.4577,                 1.6221,               0.006139,               0.006139,               0.006139
                     42,                 1.0406,                 2.6107,                 1.3052,                 1.4099,                0.65254,                0.55732,                0.59412,                 0.4438,                0.61663,                0.51624,                0.52342,                0.33167,                  1.155,                 2.7923,                 1.4416,                 1.6201,                0.00604,                0.00604,                0.00604
                     43,                  1.056,                 2.6345,                 1.3276,                 1.4142,                 0.6481,                0.55225,                 0.5968,                0.44695,                0.60831,                0.50779,                0.52492,                0.33178,                 1.1493,                  2.804,                 1.4373,                 1.6216,               0.005941,               0.005941,               0.005941
                     44,                 1.0396,                 2.6221,                 1.2962,                 1.4068,                0.65575,                0.55554,                0.58925,                0.43813,                0.62285,                0.51261,                0.52011,                0.32526,                 1.1582,                 2.7821,                 1.4436,                 1.6318,               0.005842,               0.005842,               0.005842
                     45,                 1.0237,                 2.5823,                 1.2668,                 1.3996,                0.68954,                0.54886,                0.60396,                0.45148,                0.66154,                0.49981,                0.52969,                0.33241,                 1.1539,                 2.7815,                 1.4258,                 1.6275,               0.005743,               0.005743,               0.005743
                     46,                 1.0277,                 2.5591,                 1.2592,                  1.394,                0.67706,                0.55413,                 0.6021,                0.45251,                0.65144,                0.50541,                0.53248,                0.33938,                 1.1426,                 2.7977,                 1.4247,                 1.6203,               0.005644,               0.005644,               0.005644
                     47,                 1.0249,                 2.5513,                 1.2225,                 1.3903,                0.68947,                0.55578,                0.61106,                 0.4569,                 0.6467,                0.52196,                0.54412,                0.34224,                 1.1438,                 2.7823,                 1.3962,                 1.6216,               0.005545,               0.005545,               0.005545
                     48,                 1.0192,                  2.524,                 1.2176,                 1.3857,                0.68874,                0.56886,                0.61649,                0.46368,                0.64242,                0.52845,                0.54482,                0.34464,                 1.1363,                 2.7513,                 1.3932,                 1.6149,               0.005446,               0.005446,               0.005446
                     49,                 1.0269,                 2.5671,                 1.2173,                 1.3949,                0.66316,                0.56731,                 0.6066,                0.45749,                0.63867,                0.52057,                0.54043,                0.33798,                 1.1379,                 2.7782,                 1.4095,                 1.6255,               0.005347,               0.005347,               0.005347
                     50,                 1.0209,                 2.4939,                 1.1792,                 1.3824,                 0.6625,                0.58759,                0.61555,                0.46271,                0.63898,                0.52773,                0.54158,                0.34075,                 1.1386,                 2.8023,                 1.4076,                 1.6237,               0.005248,               0.005248,               0.005248
                     51,                 0.9972,                 2.4843,                 1.1814,                 1.3645,                0.68126,                0.56976,                0.61493,                0.46465,                0.64215,                0.52968,                0.54708,                0.34702,                 1.1384,                 2.7856,                 1.3957,                 1.6156,               0.005149,               0.005149,               0.005149
                     52,                0.99788,                 2.5137,                 1.1749,                 1.3663,                0.69084,                0.57578,                0.62552,                0.46936,                0.64813,                0.53817,                0.55553,                0.35097,                 1.1315,                 2.7713,                  1.378,                  1.615,                0.00505,                0.00505,                0.00505
