                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.95853,                 2.3879,                 1.0788,                 1.3074,                0.76125,                 0.6863,                0.77257,                0.61443,                0.73707,                0.65652,                0.72838,                0.49932,                0.94766,                  2.162,                0.87944,                 1.3652,               0.003961,               0.003961,               0.003961
                     64,                0.95791,                 2.3927,                 1.0696,                 1.3056,                0.75674,                0.68872,                0.77451,                0.61598,                0.74102,                0.65611,                0.72962,                0.50066,                0.94648,                 2.1579,                0.87581,                 1.3643,               0.003862,               0.003862,               0.003862
                     65,                0.95683,                 2.3701,                 1.0619,                 1.3037,                0.75461,                0.69397,                0.77628,                 0.6171,                0.72677,                0.66725,                0.73142,                0.50209,                0.94525,                 2.1538,                  0.872,                 1.3633,               0.003763,               0.003763,               0.003763
                     66,                0.95391,                 2.3569,                 1.0579,                 1.3014,                0.75706,                0.69752,                0.77827,                0.61924,                0.72586,                0.66955,                0.73262,                 0.5037,                0.94401,                   2.15,                0.86829,                  1.362,               0.003664,               0.003664,               0.003664
                     67,                0.94891,                 2.3384,                 1.0513,                 1.2976,                0.76081,                 0.7043,                0.77998,                0.62049,                0.72949,                 0.6742,                 0.7343,                 0.5042,                0.94358,                 2.1461,                0.86456,                 1.3613,               0.003565,               0.003565,               0.003565
                     68,                0.94233,                 2.3329,                 1.0289,                 1.2955,                0.75926,                0.70572,                  0.782,                0.62283,                0.73155,                 0.6756,                0.73558,                0.50572,                 0.9423,                 2.1423,                0.86096,                 1.3601,               0.003466,               0.003466,               0.003466
                     69,                0.94607,                 2.3341,                 1.0269,                 1.2938,                0.76366,                0.70385,                0.78371,                0.62331,                 0.7337,                0.67462,                0.73736,                0.50704,                0.94088,                 2.1397,                0.85639,                 1.3586,               0.003367,               0.003367,               0.003367
                     70,                0.94469,                 2.3411,                 1.0323,                 1.2934,                0.76884,                0.70126,                0.78605,                0.62622,                0.73866,                0.67286,                0.73986,                0.50895,                0.94015,                 2.1355,                0.85195,                 1.3581,               0.003268,               0.003268,               0.003268
                     71,                0.94546,                 2.3069,                 1.0202,                 1.2939,                0.76306,                0.70954,                0.78757,                 0.6278,                0.73132,                0.68105,                0.74197,                 0.5111,                0.93878,                 2.1324,                0.84819,                 1.3571,               0.003169,               0.003169,               0.003169
                     72,                0.94598,                 2.3217,                 1.0248,                 1.2955,                 0.7651,                0.71229,                0.78936,                0.62951,                0.73352,                0.68448,                0.74531,                0.51266,                0.93743,                 2.1286,                0.84425,                 1.3557,                0.00307,                0.00307,                0.00307
